80100008	Terrain\SkiResrt.exp
801007dd	accept
801007eb	main menu
80100828	CHOOSE ENEMIES
80100858	Shell\CharSel2.tbl
8010086c	CHOOSE
80100874	PLAYERS
8010088c	CHOOSE PLAYERS
8010089c	Player 1
801008a8	Player 2
801008dc	Credits
801008e4	Screen
801008ec	Audio
801008f4	Controller 2
80100904	Controller 1
80100914	Difficulty
80100920	Memory Card
8010092c	Game Status
8010093c	Quest Completed
8010094c	Finished/Objectives missed
80100968	Quest in progress
8010097c	Unlocked
80100988	GAME STATUS
801009dd	select
801009e5	movie
801009ec	passcode
801009fd	select
80100a05	accept
80100a0d	cancel
80100a14	Premium High Octane
80100a28	Super Unleaded
80100a38	Unleaded
80100a4c	DIFFICULTY SETTING
80100a60	ANALOG CONTROLLER
80100abc	ANALOG JOYSTICK
80100b08	STEERING WHEEL
80100b50	CONTROLLER
80100b5c	UNSUPPORTED CONTROLLER
80100b7c	UNPLUGGED
80100b90	Left Pedal
80100b9c	Right Pedal
80100ba8	Wheel
80100bf0	Right
80100bfc	Dual shock
80100c10	Select
80100c40	(DUAL SHOCK)
80100c50	START when done
80100c61	 calibrate
80100c84	Sound Effects
80100c94	Music
80100ca4	AUDIO SETTINGS
80100cd0	stereo
80100cec	SCREEN ADJUSTMENT
80100d05	 to move screen
80100d1c	BASLUS-00510
80100d2c	Vigilante 8, game #%i
80100d44	BASLUS-00510-%i
80100d54	Passcode:\n%s
80100d64	Delete
80100d88	(READING)
80100d94	 (UNFORMATTED)
80100da4	 (NOT INSERTED)
80100db4	 (CHECKING)
80100dc0	MEMORY CARD SLOT %c
80100dd4	empty
80100ddc	used block
80100de8	There is no Memory card in\nMemory card slot %i
80100e18	This is not a\nVigilante 8 saved game!
80100e40	Game loaded
80100e4c	The memory card\nis unformatted.\nFormat it now?
80100e7c	Memory card full\nInsert a new Memory Card\nor delete 1 block
80100eb8	You must select a\nfree block to save\nthe game to!
80100eec	Do you want to\noverwrite this\ngame?
80100f10	Now Saving
80100f1c	Are you sure?
80100f2c	Now Deleting
80100f3c	You cannot delete\nthis block!
80100f5c	There is no file\nin this block!
80100f7c	CREDITS
80100f84	Video\Credits.str
80100f98	Shell\Options.BIN
80100fac	Shell\Options.ANM
80100fc0	Shell\OptTable.tbl
80101000	VIDEO\ACTLOGO.STR
80101014	VIDEO\INTRO.STR
80101024	Shell\Resource.tbl
80101038	Shell\Cursor.bin
8010104c	Shell\Sounds.SND
80101060	Video\Demo%c.str
80101094	MDEC_rest:bad option(%d)\n
801010b0	MDEC_in_sync
801010c0	MDEC_out_sync
801010d0	%s timeout:\n
801010e4	Access Denied. : event multiple open\n
8010118c	Access Denied. : file already open.\n
801011b4	into open\n
801011c0	exit open\n
801011cc	Access Denied. : file not open.\n
801011f0	Access Denied. : invalid data size align\n
8010121c	Access Denied. : invalid offset value align\n
8010124c	Access Denied. : system busy\n
80101274	libmcrd: event overflow\n
80111b70	locked
80111b78	Waiting for other player
80111b94	Classified
80111fc4	Machine Gun
80111fd8	Next Weapon
80111fe4	Prev Weapon
80111ff0	Target Select
80112000	Rear View
8011200c	View Select
80112018	Accelerate
80112024	Brake/Reverse
80112034	Hand Brake
80112040	Steer Left
8011204c	Steer Right
80112058	Brake
80112060	Forward
80112068	Reverse
80112070	Steer
80112078	Accel/Brake
80112084	Camera Orbit
80112094	Camera Dolly
